Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1974","1974","tonnes","125200","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1975","1975","tonnes","130100","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1976","1976","tonnes","137800","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1977","1977","tonnes","149600","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1978","1978","tonnes","147000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1979","1979","tonnes","135400","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1980","1980","tonnes","148400","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1981","1981","tonnes","153100","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1982","1982","tonnes","152900","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1983","1983","tonnes","165900","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1984","1984","tonnes","175300","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1985","1985","tonnes","186500","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1986","1986","tonnes","200500","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1987","1987","tonnes","219500","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1988","1988","tonnes","235200","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1989","1989","tonnes","259200","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1990","1990","tonnes","297300","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1991","1991","tonnes","329600","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1992","1992","tonnes","366700","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1993","1993","tonnes","367000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1994","1994","tonnes","394000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1995","1995","tonnes","472000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1996","1996","tonnes","507000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1997","1997","tonnes","550000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1998","1998","tonnes","605000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1999","1999","tonnes","622000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2000","2000","tonnes","630000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2001","2001","tonnes","631000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2002","2002","tonnes","649435","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2003","2003","tonnes","711650","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2004","2004","tonnes","749665","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2005","2005","tonnes","802625","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2006","2006","tonnes","852895","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2007","2007","tonnes","825345","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2008","2008","tonnes","864500","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2009","2009","tonnes","831400","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2010","2010","tonnes","862000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2011","2011","tonnes","800000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2012","2012","tonnes","900000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2013","2013","tonnes","900000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2014","2014","tonnes","940000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2015","2015","tonnes","944504.26","I","Imputed value"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2016","2016","tonnes","950600.4","I","Imputed value"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2017","2017","tonnes","713000","T","Unofficial figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2018","2018","tonnes","660000","T","Unofficial figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2019","2019","tonnes","702000","T","Unofficial figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2020","2020","tonnes","687600","T","Unofficial figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","2021","2021","tonnes","749000","T","Unofficial figure"
"QCL","Crops and livestock products","356","India","5510","Production","01653","Nutmeg, mace, cardamoms, raw","1961","1961","tonnes","3000","A","Official figure"
